PFAM	KO	PATHWAY	PATHWAY NAME
PF13962		12748	PF13962
PF00342		12749	PF00342
PF00162		12750	PF00162
PF17836		12751	PF17836
PF15864		12752	PF15864
PF08665		12753	PF08665
PF18105		12754	PF18105
PF02878		12755	PF02878
PF02879		12756	PF02879
PF02880		12757	PF02880
PF00408		12758	PF00408
PF04608		12759	PF04608
PF09656		12760	PF09656
PF09419		12761	PF09419
PF01471		12762	PF01471
PF08823		12763	PF08823
PF09374		12764	PF09374
PF12229		12765	PF12229
PF18353		12766	PF18353
PF00169		12767	PF00169
PF09638		12768	PF09638
PF06542		12769	PF06542
PF07167		12770	PF07167
PF10653		12771	PF10653
PF09215		12772	PF09215
PF09077		12773	PF09077
PF09306		12774	PF09306
PF09097		12775	PF09097
PF09096		12776	PF09096
PF13550		12777	PF13550
PF10145		12778	PF10145
PF09251		12779	PF09251
PF09584		12780	PF09584
PF09583		12781	PF09583
PF08200		12782	PF08200
PF08010		12783	PF08010
PF06019		12784	PF06019
PF18066		12785	PF18066
PF05930		12786	PF05930
PF06530		12787	PF06530
PF06323		12788	PF06323
PF17585		12789	PF17585
PF10554		12790	PF10554
PF05354		12791	PF05354
PF02304		12792	PF02304
PF04717		12793	PF04717
PF09356		12794	PF09356
PF12025		12795	PF12025
PF05065		12796	PF05065
PF09018		12797	PF09018
PF03864		12798	PF03864
PF05125		12799	PF05125
PF05269		12800	PF05269
PF16452		12801	PF16452
PF07022		12802	PF07022
PF16790		12803	PF16790
PF09063		12804	PF09063
PF05357		12805	PF05357
PF05356		12806	PF05356
PF05371		12807	PF05371
PF05352		12808	PF05352
PF05135		12809	PF05135
PF10743		12810	PF10743
PF06892		12811	PF06892
PF05144		12812	PF05144
PF02303		12813	PF02303
PF11126		12814	PF11126
PF05367		12815	PF05367
PF02305		12816	PF02305
PF03335		12817	PF03335
PF03406		12818	PF03406
PF06820		12819	PF06820
PF05798		12820	PF05798
PF02306		12821	PF02306
PF11108		12822	PF11108
PF07410		12823	PF07410
PF06854		12824	PF06854
PF17549		12825	PF17549
PF09355		12826	PF09355
PF06810		12827	PF06810
PF10669		12828	PF10669
PF13876		12829	PF13876
PF11246		12830	PF11246
PF05840		12831	PF05840
PF05954		12832	PF05954
PF05926		12833	PF05926
PF05929		12834	PF05929
PF11113		12835	PF11113
PF11133		12836	PF11133
PF06120		12837	PF06120
PF04531		12838	PF04531
PF04971		12839	PF04971
PF10746		12840	PF10746
PF16080		12841	PF16080
PF16082		12842	PF16082
PF05106		12843	PF05106
PF04550		12844	PF04550
PF16083		12845	PF16083
PF16085		12846	PF16085
PF07332		12847	PF07332
PF05449		12848	PF05449
PF05105		12849	PF05105
PF04020		12850	PF04020
PF06946		12851	PF06946
PF16079		12852	PF16079
PF09682		12853	PF09682
PF16081		12854	PF16081
PF16931		12855	PF16931
PF16938		12856	PF16938
PF11031		12857	PF11031
PF11110		12858	PF11110
PF05521		12859	PF05521
PF00589		12860	PF00589
PF13009		12861	PF13009
PF16795		12862	PF16795
PF02899		12863	PF02899
PF12834		12864	PF12834
PF14659		12865	PF14659
PF13495		12866	PF13495
PF13102		12867	PF13102
PF18644		12868	PF18644
PF06992		12869	PF06992
PF03245		12870	PF03245
PF00959		12871	PF00959
PF18013		12872	PF18013
PF03863		12873	PF03863
PF06152		12874	PF06152
PF05939		12875	PF05939
PF04233		12876	PF04233
PF07352		12877	PF07352
PF06890		12878	PF06890
PF06322		12879	PF06322
PF07471		12880	PF07471
PF06194		12881	PF06194
PF06528		12882	PF06528
PF06995		12883	PF06995
PF04860		12884	PF04860
PF05136		12885	PF05136
PF09669		12886	PF09669
PF05133		12887	PF05133
PF16945		12888	PF16945
PF04492		12889	PF04492
PF09681		12890	PF09681
PF10789		12891	PF10789
PF04984		12892	PF04984
PF17482		12893	PF17482
PF17481		12894	PF17481
PF18715		12895	PF18715
PF18781		12896	PF18781
PF16773		12897	PF16773
PF11134		12898	PF11134
PF06841		12899	PF06841
PF06919		12900	PF06919
PF03903		12901	PF03903
PF06591		12902	PF06591
PF05396		12903	PF05396
PF03906		12904	PF03906
PF06222		12905	PF06222
PF10963		12906	PF10963
PF11836		12907	PF11836
PF12363		12908	PF12363
PF16459		12909	PF16459
PF16462		12910	PF16462
PF06894		12911	PF06894
PF06896		12912	PF06896
PF08748		12913	PF08748
PF08890		12914	PF08890
PF09550		12915	PF09550
PF10109		12916	PF10109
PF10666		12917	PF10666
PF10876		12918	PF10876
PF06199		12919	PF06199
PF08813		12920	PF08813
PF16778		12921	PF16778
PF05100		12922	PF05100
PF08400		12923	PF08400
PF16532		12924	PF16532
PF05069		12925	PF05069
PF06223		12926	PF06223
PF06141		12927	PF06141
PF05489		12928	PF05489
PF10668		12929	PF10668
PF07141		12930	PF07141
PF05944		12931	PF05944
PF04761		12932	PF04761
PF04630		12933	PF04630
PF16460		12934	PF16460
PF16461		12935	PF16461
PF16463		12936	PF16463
PF04985		12937	PF04985
PF05155		12938	PF05155
PF09693		12939	PF09693
PF03334		12940	PF03334
PF09602		12941	PF09602
PF05597		12942	PF05597
PF09361		12943	PF09361
PF09246		12944	PF09246
PF09650		12945	PF09650
PF09712		12946	PF09712
PF12551		12947	PF12551
PF05233		12948	PF05233
PF07879		12949	PF07879
PF06850		12950	PF06850
PF16616		12951	PF16616
PF00628		12952	PF00628
PF16660		12953	PF16660
PF02604		12954	PF02604
PF13831		12955	PF13831
PF13922		12956	PF13922
PF16866		12957	PF16866
PF12910		12958	PF12910
PF07227		12959	PF07227
PF02332		12960	PF02332
PF06099		12961	PF06099
PF13557		12962	PF13557
PF04663		12963	PF04663
PF09662		12964	PF09662
PF08015		12965	PF08015
PF18552		12966	PF18552
PF18554		12967	PF18554
PF18553		12968	PF18553
PF18262		12969	PF18262
PF07976		12970	PF07976
PF02912		12971	PF02912
PF08916		12972	PF08916
PF16737		12973	PF16737
PF03660		12974	PF03660
PF09524		12975	PF09524
PF06720		12976	PF06720
PF05435		12977	PF05435
PF05464		12978	PF05464
PF17427		12979	PF17427
PF12699		12980	PF12699
PF14882		12981	PF14882
PF04674		12982	PF04674
PF07243		12983	PF07243
PF07245		12984	PF07245
PF07246		12985	PF07246
PF14703		12986	PF14703
PF12621		12987	PF12621
PF03831		12988	PF03831
PF08274		12989	PF08274
PF06754		12990	PF06754
PF05845		12991	PF05845
PF05861		12992	PF05861
PF06007		12993	PF06007
PF01384		12994	PF01384
PF11124		12995	PF11124
PF10032		12996	PF10032
PF09423		12997	PF09423
PF16655		12998	PF16655
PF02562		12999	PF02562
PF16212		13000	PF16212
PF16209		13001	PF16209
PF10142		13002	PF10142
PF08918		13003	PF08918
PF11808		13004	PF11808
PF02114		13005	PF02114
PF15698		13006	PF15698
PF10143		13007	PF10143
PF01663		13008	PF01663
PF04185		13009	PF04185
PF04272		13010	PF04272
PF00068		13011	PF00068
PF05826		13012	PF05826
PF09056		13013	PF09056
PF04916		13014	PF04916
PF12974		13015	PF12974
PF00922		13016	PF00922
PF00343		13017	PF00343
PF10195		13018	PF10195
PF13914		13019	PF13914
PF13916		13020	PF13916
PF08543		13021	PF08543
PF00124		13022	PF00124
PF01895		13023	PF01895
PF01865		13024	PF01865
PF02811		13025	PF02811
PF13263		13026	PF13263
PF08005		13027	PF08005
PF11131		13028	PF11131
PF14728		13029	PF14728
PF14727		13030	PF14727
PF16645		13031	PF16645
PF12129		13032	PF12129
PF00360		13033	PF00360
PF00502		13034	PF00502
PF02972		13035	PF02972
PF05721		13036	PF05721
PF02333		13037	PF02333
PF13449		13038	PF13449
PF15438		13039	PF15438
PF05023		13040	PF05023
PF09328		13041	PF09328
PF07124		13042	PF07124
PF05451		13043	PF05451
PF07236		13044	PF07236
PF05878		13045	PF05878
PF03284		13046	PF03284
PF02567		13047	PF02567
PF15411		13048	PF15411
PF15413		13049	PF15413
PF16457		13050	PF16457
PF16652		13051	PF16652
PF17787		13052	PF17787
PF17339		13053	PF17339
PF17838		13054	PF17838
PF18012		13055	PF18012
PF18469		13056	PF18469
PF08458		13057	PF08458
PF14593		13058	PF14593
PF15404		13059	PF15404
PF15405		13060	PF15405
PF15406		13061	PF15406
PF15409		13062	PF15409
PF15410		13063	PF15410
PF14844		13064	PF14844
PF12068		13065	PF12068
PF08567		13066	PF08567
PF16670		13067	PF16670
PF00388		13068	PF00388
PF00387		13069	PF00387
PF18714		13070	PF18714
PF08577		13071	PF08577
PF11566		13072	PF11566
PF00613		13073	PF00613
PF10486		13074	PF10486
PF00792		13075	PF00792
PF02192		13076	PF02192
PF16454		13077	PF16454
PF00794		13078	PF00794
PF00454		13079	PF00454
PF06363		13080	PF06363
PF02226		13081	PF02226
PF00947		13082	PF00947
PF01552		13083	PF01552
PF00640		13084	PF00640
PF14719		13085	PF14719
PF15917		13086	PF15917
PF12166		13087	PF12166
PF05092		13088	PF05092
PF05970		13089	PF05970
PF04631		13090	PF04631
PF05006		13091	PF05006
PF05341		13092	PF05341
PF06699		13093	PF06699
PF10181		13094	PF10181
PF02585		13095	PF02585
PF08510		13096	PF08510
PF10510		13097	PF10510
PF06728		13098	PF06728
PF08320		13099	PF08320
PF15159		13100	PF15159
PF08288		13101	PF08288
PF06324		13102	PF06324
PF04987		13103	PF04987
PF08190		13104	PF08190
PF18201		13105	PF18201
PF18482		13106	PF18482
PF11522		13107	PF11522
PF18605		13108	PF18605
PF13805		13109	PF13805
PF18682		13110	PF18682
PF10623		13111	PF10623
PF00114		13112	PF00114
PF16734		13113	PF16734
PF07790		13114	PF07790
PF14245		13115	PF14245
PF11530		13116	PF11530
PF13675		13117	PF13675
PF18223		13118	PF18223
PF07419		13119	PF07419
PF11104		13120	PF11104
PF05137		13121	PF05137
PF18222		13122	PF18222
PF04350		13123	PF04350
PF17499		13124	PF17499
PF04351		13125	PF04351
PF08805		13126	PF08805
PF15453		13127	PF15453
PF09476		13128	PF09476
PF16074		13129	PF16074
PF13681		13130	PF13681
PF14341		13131	PF14341
PF07238		13132	PF07238
PF16823		13133	PF16823
PF16765		13134	PF16765
PF01850		13135	PF01850
PF18475		13136	PF18475
PF04696		13137	PF04696
PF04697		13138	PF04697
PF14324		13139	PF14324
PF18478		13140	PF18478
PF18479		13141	PF18479
PF16289		13142	PF16289
PF10130		13143	PF10130
PF13470		13144	PF13470
PF13638		13145	PF13638
PF08745		13146	PF08745
PF17146		13147	PF17146
PF18476		13148	PF18476
PF18477		13149	PF18477
PF12260		13150	PF12260
PF14875		13151	PF14875
PF01504		13152	PF01504
PF07108		13153	PF07108
PF00399		13154	PF00399
PF02678		13155	PF02678
PF05726		13156	PF05726
PF17954		13157	PF17954
PF15099		13158	PF15099
PF06201		13159	PF06201
PF02171		13160	PF02171
PF12306		13161	PF12306
PF18365		13162	PF18365
PF18363		13163	PF18363
PF00224		13164	PF00224
PF16808		13165	PF16808
PF00801		13166	PF00801
PF16407		13167	PF16407
PF16820		13168	PF16820
PF08016		13169	PF08016
PF18331		13170	PF18331
PF02827		13171	PF02827
PF02173		13172	PF02173
PF00069		13173	PF00069
PF00433		13174	PF00433
PF17667		13175	PF17667
PF07714		13176	PF07714
PF06878		13177	PF06878
PF12474		13178	PF12474
PF16919		13179	PF16919
PF16918		13180	PF16918
PF14032		13181	PF14032
PF08636		13182	PF08636
PF18369		13183	PF18369
PF02887		13184	PF02887
PF15903		13185	PF15903
PF02253		13186	PF02253
PF06951		13187	PF06951
PF01735		13188	PF01735
PF02988		13189	PF02988
PF08686		13190	PF08686
PF04749		13191	PF04749
PF15205		13192	PF15205
PF07595		13193	PF07595
PF10532		13194	PF10532
PF06694		13195	PF06694
PF04827		13196	PF04827
PF01307		13197	PF01307
PF10533		13198	PF10533
PF01672		13199	PF01672
PF09686		13200	PF09686
PF10784		13201	PF10784
PF05403		13202	PF05403
PF05795		13203	PF05795
PF09715		13204	PF09715
PF07981		13205	PF07981
PF06247		13206	PF06247
PF12135		13207	PF12135
PF01477		13208	PF01477
PF04640		13209	PF04640
PF18759		13210	PF18759
PF08703		13211	PF08703
PF14466		13212	PF14466
PF00614		13213	PF00614
PF13091		13214	PF13091
PF13918		13215	PF13918
PF13396		13216	PF13396
PF12357		13217	PF12357
PF00681		13218	PF00681
PF08337		13219	PF08337
PF16743		13220	PF16743
PF18190		13221	PF18190
PF18409		13222	PF18409
PF18587		13223	PF18587
PF16485		13224	PF16485
PF18748		13225	PF18748
PF18747		13226	PF18747
PF18751		13227	PF18751
PF01690		13228	PF01690
PF08429		13229	PF08429
PF07715		13230	PF07715
PF10559		13231	PF10559
PF03126		13232	PF03126
PF18684		13233	PF18684
PF11477		13234	PF11477
PF15150		13235	PF15150
PF01523		13236	PF01523
PF09373		13237	PF09373
PF08066		13238	PF08066
PF10536		13239	PF10536
PF04043		13240	PF04043
PF05287		13241	PF05287
PF01238		13242	PF01238
PF03332		13243	PF03332
PF14100		13244	PF14100
PF08114		13245	PF08114
PF00822		13246	PF00822
PF01679		13247	PF01679
PF14416		13248	PF14416
PF11183		13249	PF11183
PF15322		13250	PF15322
PF01625		13251	PF01625
PF02366		13252	PF02366
PF17987		13253	PF17987
PF13231		13254	PF13231
PF16192		13255	PF16192
PF17949		13256	PF17949
PF06436		13257	PF06436
PF05539		13258	PF05539
PF07380		13259	PF07380
PF03393		13260	PF03393
PF03246		13261	PF03246
PF03438		13262	PF03438
PF02478		13263	PF02478
PF12222		13264	PF12222
PF15996		13265	PF15996
PF08645		13266	PF08645
PF16536		13267	PF16536
PF16542		13268	PF16542
PF14893		13269	PF14893
PF03726		13270	PF03726
PF12111		13271	PF12111
PF18191		13272	PF18191
PF10590		13273	PF10590
PF01048		13274	PF01048
PF15365		13275	PF15365
PF17464		13276	PF17464
PF02233		13277	PF02233
